PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;b;2020;REGIAO NORTE;AMAZONAS;528730,2972;470940,3406;504568,7469;502248,8763;490352,5183;459712,3379;473773,2082;475034,3151;0;0;0;0;3905360,64
TERRA;b;2020;REGIAO NORDESTE;MARANHAO;2732,92364;2043,711608;553,7587092;171,591426;105,8825357;388,3093455;3111,317226;2413,171337;0;0;0;0;11520,66583
TERRA;b;2020;REGIAO NORDESTE;CEARA;24984,15056;25287,6276;25367,15596;23460,09815;24109,08703;23017,4339;23380,11063;21882,80249;0;0;0;0;191488,4663
TERRA;b;2020;REGIAO NORDESTE;RIO GRANDE DO NORTE;973233,5989;907473,913;967863,0885;925998,4886;987403,4369;969591,6354;992527,3491;1012556,613;0;0;0;0;7736648,123
TERRA;b;2020;REGIAO NORDESTE;ALAGOAS;81739,79936;82633,61803;85711,24087;77788,79395;81398,1933;74837,28022;71973,89492;73975,06867;0;0;0;0;630057,8893
TERRA;b;2020;REGIAO NORDESTE;SERGIPE;346138,8532;320001,4799;345192,5435;329997,2413;336929,4489;314335,2585;303381,4847;314049,9628;0;0;0;0;2610026,273
TERRA;b;2020;REGIAO NORDESTE;BAHIA;830682,5712;769755,1012;819872,9958;761205,436;783873,6171;743732,3055;763642,3955;741736,2296;0;0;0;0;6214500,652
TERRA;b;2020;REGIAO SUDESTE;ESPIRITO SANTO;304512,5949;265545,481;280895,0001;266540,4217;285676,6075;292004,2538;291565,5182;293528,9071;0;0;0;0;2280268,784
MAR;b;2020;REGIAO NORDESTE;CEARA;74808,32068;121693,1557;109379,6575;0;0;0;0;0;0;0;0;0;305881,1339
MAR;b;2020;REGIAO NORDESTE;RIO GRANDE DO NORTE;130459,5044;115515,9908;113418,2802;63748,91625;65114,97064;62554,47397;73266,46257;74916,66788;0;0;0;0;698995,2667
MAR;b;2020;REGIAO NORDESTE;ALAGOAS;0;0;0;0;986,9466667;4608,625555;3245,265208;2434,716263;0;0;0;0;11275,55369
MAR;b;2020;REGIAO NORDESTE;SERGIPE;113516,4467;148840,9883;267204,9224;48216,11723;23391,4511;23340,42407;22015,25331;20224,62303;0;0;0;0;666750,2261
MAR;b;2020;REGIAO NORDESTE;BAHIA;12841,65355;8511,607326;3074,495546;3009,981279;2861,694354;10560,5474;8549,216238;8776,948181;0;0;0;0;58186,14387
MAR;b;2020;REGIAO SUDESTE;ESPIRITO SANTO;8720241,958;7916679,675;8257055,18;6172742,742;7039174,815;6903196,868;6940867,145;7043011,168;0;0;0;0;58992969,55
MAR;b;2020;REGIAO SUDESTE;RIO DE JANEIRO;76693772,87;66328124,56;71415514,52;71845846,16;67063890,5;72050238,37;76887194,92;76528254,22;0;0;0;0;578812836,1
MAR;b;2020;REGIAO SUDESTE;SAO PAULO;9382237,435;8695591,719;8979281,46;7729953,691;8543213,469;8462258,457;8568959,046;9084131,591;0;0;0;0;69445626,87
